"id","fqdn/ip","port","severity","finding","cve","cwe"
"ALPN_HTTP2","iaflash.fr/185.199.108.153","443","OK","h2","",""
"ALPN","iaflash.fr/185.199.108.153","443","INFO","http/1.1","",""
"cipherlist_NULL","iaflash.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","iaflash.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","iaflash.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","iaflash.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","iaflash.fr/185.199.108.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","iaflash.fr/185.199.108.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","iaflash.fr/185.199.108.153","443","OK","offered","",""
"cipherlist_STRONG_FS","iaflash.fr/185.199.108.153","443","OK","offered","",""
"cipher_order-tls1_2","iaflash.fr/185.199.108.153","443","OK","server","",""
"cipherorder_TLSv1_2","iaflash.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","iaflash.fr/185.199.108.153","443","OK","server","",""
"FS","iaflash.fr/185.199.108.153","443","OK","offered","",""
"FS_ciphers","iaflash.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","iaflash.fr/185.199.108.153","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","iaflash.fr/185.199.108.153","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","iaflash.fr/185.199.108.153","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","iaflash.fr/185.199.108.153","443","INFO","yes","",""
"sessionresumption_ticket","iaflash.fr/185.199.108.153","443","INFO","supported","",""
"sessionresumption_ID","iaflash.fr/185.199.108.153","443","INFO","supported","",""
"TLS_timestamp","iaflash.fr/185.199.108.153","443","INFO","random","",""
"certificate_compression","iaflash.fr/185.199.108.153","443","INFO","none","",""
"clientAuth","iaflash.fr/185.199.108.153","443","INFO","none","",""
"cert_numbers","iaflash.fr/185.199.108.153","443","INFO","1","",""
"cert_signatureAlgorithm","iaflash.fr/185.199.108.153","443","OK","SHA256 with RSA","",""
"cert_keySize","iaflash.fr/185.199.108.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","iaflash.fr/185.199.108.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","iaflash.fr/185.199.108.153","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","iaflash.fr/185.199.108.153","443","INFO","041164AF29F1271B4389BD36F4FD8ABE42F0","",""
"cert_serialNumberLen","iaflash.fr/185.199.108.153","443","INFO","18","",""
"cert_fingerprintSHA1","iaflash.fr/185.199.108.153","443","INFO","BCA88CC40216CF5AAC66D66448DA1FDCA4EC4B28","",""
"cert_fingerprintSHA256","iaflash.fr/185.199.108.153","443","INFO","C1A5E773ED05E0B76B756A7B8DFA736CA9E92F339D5B116366EB142D59687EBF","",""
